Número	Tipo	V	Ang	Pg	Qg	Qn	Qm	Pl	Ql	bshbar
1	2	1	-0.41888	300	-203	-540	420	0	0	0
2	2	1	     -0.45379	800	-134	-720	480	0	0	0
3	3	         1.02	     -0.41888	        995.8	-400	-546	600	0	0	0
4	2	         1.01	     -0.38397	900	-321	-640	640	0	0	0
5	2	1	-1.08221	140	        -22.1	-80	84	0	0	0
6	2	1	     -0.34907	150	        -20.6	-120	126	0	0	0
7	2	1	     -0.47124	200	        -49.6	-180	180	0	0	0
8	2	1	     -0.73304	0	-461	-1080	1200	0	0	0
9	1	1.033	     -0.73304	0	0	       -999.9	       9999.9	66	          1.2	0
10	1	1.056	     -0.48869	0	0	       -999.9	       9999.9	0	0	0
11	1	1.069	     -0.62832	0	0	       -999.9	       9999.9	0	0	-200
12	1	1.059	     -0.75049	0	0	       -999.9	       9999.9	0	0	-100
13	1	1.072	     -0.75049	0	0	       -999.9	       9999.9	0	0	0
14	1	1.061	     -0.89012	0	0	       -999.9	       9999.9	910	235	0
15	1	         1.05	     -0.90757	0	0	       -999.9	       9999.9	0	0	-100
16	1	1.041	     -0.71558	0	0	       -999.9	       9999.9	180	90	0
17	1	1.067	     -0.71558	0	0	       -999.9	       9999.9	200	38	0
18	1	1.035	     -0.80285	0	0	       -999.9	       9999.9	450	175	0
19	1	1.037	     -0.75049	0	0	       -999.9	       9999.9	290	95	0
20	1	1.027	     -0.47124	0	0	       -999.9	       9999.9	0	0	0
21	1	1.027	     -0.45379	0	0	       -999.9	       9999.9	0	0	0
22	1	1.028	     -0.57596	0	0	       -999.9	       9999.9	54	23	0
23	1	1.036	     -0.76794	0	0	       -999.9	       9999.9	72	34	0
24	1	1.023	     -0.92502	0	0	       -999.9	       9999.9	700	250	0
25	1	1.048	     -0.47124	0	0	       -999.9	       9999.9	0	0	0
26	1	         1.05	     -0.50615	0	0	       -999.9	       9999.9	93	39	0
27	1	1.049	     -0.48869	0	0	       -999.9	       9999.9	53	25	0
28	1	         1.05	     -0.55851	0	0	       -999.9	       9999.9	364	58	0
29	1	1.025	     -0.69813	0	0	       -999.9	       9999.9	600	200	0
30	1	1.028	     -0.68068	0	0	       -999.9	       9999.9	0	0	0
31	1	1.052	     -0.55851	0	0	       -999.9	       9999.9	0	0	0
32	1	1	     -0.59341	0	0	       -999.9	       9999.9	0	0	0
33	1	1.016	     -0.69813	0	0	       -999.9	       9999.9	86	34	0
34	1	         1.01	     -0.85521	0	0	       -999.9	       9999.9	         89.7	         31.9	0
35	1	1.039	     -0.62832	0	0	       -999.9	       9999.9	0	0	0
36	1	1.027	     -0.68068	0	0	       -999.9	       9999.9	1000	350	0
37	2	         1.02	     -0.33161	700	-184	-440	392	0	0	0
38	2	         1.01	     -0.33161	300	-128	-140	140	0	0	0
39	2	         1.02	     -0.31416	400	-125	-150	150	0	0	0
40	2	         1.02	     -0.41888	200	-279	-600	600	0	0	0
41	2	1	     -0.38397	300	        -60.4	-120	120	0	0	0
42	1	1.049	     -0.41888	0	0	       -999.9	       9999.9	0	0	0
43	1	1.046	     -0.40143	0	0	       -999.9	       9999.9	0	0	0
44	1	1.033	     -0.45379	0	0	       -999.9	       9999.9	274	104	0
45	1	1.046	     -0.38397	0	0	       -999.9	       9999.9	0	0	0
46	1	1.049	     -0.43633	0	0	       -999.9	       9999.9	0	0	0
47	1	1.041	     -0.45379	0	0	       -999.9	       9999.9	0	0	0
48	2	         1.02	     -0.36652	800	-118	-540	540	0	0	0
49	1	1.035	     -0.45379	0	0	       -999.9	       9999.9	0	0	0
50	1	1.023	     -0.50615	0	0	       -999.9	       9999.9	700	150	0
51	2	         1.02	     -0.12043	1100	        138.4	-800	800	0	0	0
52	2	         1.02	     0.065101	1150	        114.4	-600	600	0	0	0
53	2	         1.02	    -0.066323	1200	        -72.2	-400	532	0	0	0
54	1	1	     -0.64577	0	0	       -999.9	       9999.9	        735.4	191	0
55	1	1.038	     -0.29671	0	0	       -999.9	       9999.9	0	0	0
56	1	        0.991	     -0.50615	0	0	       -999.9	       9999.9	         13.4	          4.2	0
57	1	        0.999	     -0.10821	0	0	       -999.9	       9999.9	0	0	0
58	1	        0.986	     -0.16057	0	0	       -999.9	       9999.9	159	36	0
59	1	        0.999	    -0.092502	0	0	       -999.9	       9999.9	94	18	0
60	1	1.035	     -0.19199	0	0	       -999.9	       9999.9	0	0	0
61	1	1.044	     -0.61087	0	0	       -999.9	       9999.9	0	0	0
62	1	1.028	    -0.071558	0	0	       -999.9	       9999.9	0	0	0
63	1	1.039	    -0.048869	0	0	       -999.9	       9999.9	0	0	0
64	1	1.012	    -0.033161	0	0	       -999.9	       9999.9	0	0	0
65	2	         1.02	      -0.2618	700	-236	-475	475	0	0	0
66	2	         1.02	     -0.22689	700	-109	-516	465	0	0	0
67	2	1	      0.10437	700	        89.06	-148	220	0	0	0
68	2	         1.02	    0.0019199	950	        73.05	-440	420	0	0	0
69	1	1.038	     -0.31416	0	0	       -999.9	       9999.9	0	0	0
70	1	1	     -0.31416	0	0	       -999.9	       9999.9	237	59	0
71	1	1.043	     -0.64577	0	0	       -999.9	       9999.9	0	0	0
72	1	1	     -0.69813	0	0	       -999.9	       9999.9	1149	        53.06	0
73	1	1.058	     -0.40143	0	0	       -999.9	       9999.9	0	0	0
74	1	1.033	     -0.61087	0	0	       -999.9	       9999.9	0	0	100
75	1	1	     -0.64577	0	0	       -999.9	       9999.9	        844.7	        469.1	0
76	1	1.037	     -0.54105	0	0	       -999.9	       9999.9	0	0	0
77	1	1	     -0.57596	0	0	       -999.9	       9999.9	        755.6	        56.24	0
78	1	1.012	     -0.57596	0	0	       -999.9	       9999.9	0	0	0
79	1	         1.05	     -0.33161	0	0	       -999.9	       9999.9	0	0	0
80	1	        0.998	     -0.68068	0	0	       -999.9	       9999.9	70	2	0
81	1	1.052	     -0.34907	0	0	       -999.9	       9999.9	0	0	0
82	1	1.017	    -0.016057	0	0	       -999.9	       9999.9	0	0	0
83	1	1.043	     -0.13614	0	0	       -999.9	       9999.9	0	0	0
84	1	1	     -0.62832	0	0	       -999.9	       9999.9	1228	425	0
85	1	1.061	     -0.85521	0	0	       -999.9	       9999.9	0	0	0
86	1	1.026	     -0.92502	0	0	       -999.9	       9999.9	145	63	0
87	1	1	      -0.1117	0	0	       -999.9	       9999.9	403	126	0
88	1	1.026	-1.0647	0	0	       -999.9	       9999.9	         31.4	          7.1	-45
89	1	1.034	-1.1519	0	0	       -999.9	       9999.9	0	0	0
90	1	1.032	-1.1868	0	0	       -999.9	       9999.9	0	0	-20
91	2	         1.01	-1.0472	50	        -9.08	-42	30	0	0	0
92	2	         1.02	-1.2741	0	0	        -54.5	        63.96	0	0	0
93	1	1.041	-1.2741	0	0	       -999.9	       9999.9	0	0	0
94	1	1.014	-1.2741	0	0	       -999.9	       9999.9	         75.4	         16.1	0
95	1	1.025	-1.2566	0	0	       -999.9	       9999.9	0	0	0
96	1	1.007	-1.3963	0	0	       -999.9	       9999.9	         12.6	          1.2	-20
97	1	1.012	-1.5359	0	0	       -999.9	       9999.9	         23.8	          7.4	0
98	1	1.009	-1.4835	0	0	       -999.9	       9999.9	18	          6.4	0
99	1	1.018	-1.5882	0	0	       -999.9	       9999.9	         65.5	         16.7	30
100	1	1.018	-1.1694	0	0	       -999.9	       9999.9	0	0	0
101	2	1	-1.1868	230	        -28.7	-160	160	0	0	0
102	1	1.018	-1.2392	0	0	       -999.9	       9999.9	        128.2	        40.76	0
103	1	1.003	-1.2915	0	0	       -999.9	       9999.9	        182.1	        29.75	0
104	2	1	-1.309	50	        -16.8	-86	59	0	0	0
105	1	1.025	-1.3614	0	0	       -999.9	       9999.9	0	0	0
106	1	1.025	-1.3963	0	0	       -999.9	       9999.9	        128.9	         36.3	0
107	1	1.046	-1.3614	0	0	       -999.9	       9999.9	0	0	-30
										
										
										
PB = 100										
