FROM	TO	R(pu)	X(pu)	Bsh (pu)	Tap	PHI
9	8	0	 0.0071475	0	1	0
9	17	0	      0.01913	0	1	0
9	17	0	      0.01913	0	1	0
10	4	0	      0.01264	0	1	0
10	11	      0.00172	       0.0272	1.157	1	0
10	11	      0.00171	        0.027	1.151	1	0
10	25	      0.00209	      0.02935	1.273	1	0
10	26	0	      0.02357	0	1	0
10	49	      0.00153	        0.024	1.019	1	0
11	12	      0.00156	       0.0246	1.0425	1	0
11	13	      0.00152	       0.0239	1.013	1	0
12	16	0	      0.02403	0	1	0
12	85	       0.0011	       0.0191	      0.80925	1	0
13	18	0	      0.02419	0	1	0
14	13	      0.00196	        0.031	1.3245	1	0
14	85	       0.0005	       0.0082	       0.3468	1	0
15	14	      0.00152	       0.0239	1.0135	1	0
15	14	      0.00152	       0.0239	1.0155	1	0
15	24	0	      0.02923	0	1	0
15	24	0	      0.02668	0	1	0
17	13	      0.00105	      0.01619	      0.68175	1	0
18	16	      0.00359	      0.03945	       0.3334	1	0
19	9	      0.00109	      0.01826	       0.2559	1	0
19	9	      0.00109	      0.01824	       0.2559	1	0
19	16	        0.006	       0.0595	        0.464	1	0
19	16	      0.00606	       0.0602	        0.469	1	0
20	6	0	     0.088333	0	1	0
21	1	0	      0.01335	0	        0.999	0
21	20	      0.00092	       0.0101	       0.0845	1	0
21	47	       0.0032	      0.03509	       0.2962	1	0
22	2	0	      0.01536	0	1	0
22	16	      0.00436	        0.043	        0.333	1	0
22	16	      0.00436	        0.043	        0.333	1	0
22	20	      0.00348	       0.0342	        0.264	1	0
22	21	      0.00375	       0.0413	       0.3495	1	0
22	23	      0.00649	       0.0646	        0.504	1	0
22	23	      0.00558	       0.0619	       0.5285	1	0
24	23	      0.00652	        0.065	        0.507	1	0
24	23	      0.00558	       0.0619	       0.5285	1	0
25	3	0	    0.0066667	0	1	0
25	28	0	       0.0172	0	1	0
25	28	0	       0.0172	0	1	0
25	46	      0.00147	       0.0232	        0.983	1	0
26	27	      0.00219	       0.0242	       0.2035	1	0
27	47	      0.00129	      0.01414	      0.11885	1	0
28	27	      0.00565	      0.06248	      0.53365	1	0
28	29	      0.00507	       0.0561	        0.478	1	0
28	29	      0.00507	       0.0561	        0.478	1	0
29	36	       0.0043	      0.04799	        0.411	1	0
29	36	       0.0043	      0.04799	        0.411	1	0
30	36	      0.00035	      0.00433	       0.0367	1	0
30	36	      0.00035	      0.00433	       0.0367	1	0
31	7	0	     0.044965	0	1.025	0
31	28	      0.00226	      0.02396	      0.21618	1	0
31	30	      0.00726	      0.07704	      0.69005	1	0
32	28	0	      0.02721	0	        0.955	0
32	28	0	      0.02938	0	        0.955	0
32	34	        0.041	       0.1976	       0.1804	1	0
32	34	       0.0127	       0.1362	      0.24735	1	0
33	30	0	      0.03595	0	1	0
34	88	       0.0451	       0.2169	      0.20125	1	0
